ISQ,ROI,Tb.Th.,Tb.Sp.,Tb.N.,CV,BV/TV
C0014669,0,0.15678487172033473,1.1933027082210774,1.3884294011300127,0.1535817602711788,0.07674862375179567
C0014669,1,0.15566664346008965,1.5606144869405008,1.2959044191644948,0.08127768040316402,0.06975873614445459
C0014669,2,0.155205069804433,1.1705440032911814,1.4524519483165568,0.13530410001441148,0.07951999437173635
C0014670,0,0.13828497986648655,1.0868437579741037,1.4349250533214424,0.0641925606911328,0.07243100625786898
C0014670,1,0.13721148498224564,1.0590007792651668,1.4681785555969429,0.05611966988897581,0.0729025128244381
C0014670,2,0.13203270555020125,1.037524062048927,1.4928184816188719,0.0920915198034149,0.07191390517631129
C0014974,0,0.15008098984676338,0.9287254257533659,1.7031807764181792,0.05609023687163408,0.0936447697337507
C0014974,1,0.1607671615393189,0.9199913316785402,1.7384048571933528,0.07338352231884869,0.10997896113900155
C0014974,2,0.16516961117353515,0.9054301817682721,1.7600852864071028,0.043057204923920435,0.11587928804208435
C0014975,0,0.15202372609320486,1.286321621082064,1.3567951467729114,0.05866328986888456,0.08678471316168059
C0014975,1,0.15402761499399248,1.2053347384515984,1.4060223941893695,0.12309315903479842,0.09144030108769508
C0014975,2,0.15706482899979193,1.121542140593206,1.5239237544391138,0.12581598977536984,0.10369663850733148
C0015028,0,0.1934796403603923,0.9685556066307874,1.6507415325985881,0.0787276173604883,0.13514796161133633
C0015028,1,0.19048641051842116,0.9663471681966445,1.6279983282023842,0.05086383544662524,0.13056379492127668
C0015028,2,0.18463793665943753,0.9354695110932763,1.7024612043845795,0.06413633658400673,0.13686438151258365
C0015029,0,0.1516337155361398,1.5280171466593067,1.001452027198147,0.13061560993577545,0.04830030535248222
C0015029,1,0.14893593500677937,1.5365596692835397,1.057939089165231,0.1060647766733964,0.05245496386525714
C0015029,2,0.14489640703947151,1.4710007320892446,1.109582214622896,0.08528124438107833,0.05447223782238504
C0015052,0,0.1303870994491112,1.3335035841822265,1.0121980105226516,0.23352203948474665,0.02867282561675953
