$Sample;$ROI;$XPos;$YPos;$ZPos;$Dim;$Threshold;
C0020969;3;312.0;332.0;458.0;358.0;6694.0;
C0020970;1;249.0;277.0;0.0;358.0;6620.0;
C0020970;2;249.0;279.0;229.0;358.0;6620.0;
C0020970;3;248.0;279.0;458.0;358.0;6620.0;
C0020971;1;328.0;332.0;0.0;358.0;6667.0;
C0020971;2;328.0;331.0;229.0;358.0;6667.0;
C0020971;3;325.0;330.0;458.0;358.0;6667.0;
C0021051;1;323.0;323.0;0.0;358.0;6797.0;
C0021051;2;332.0;323.0;229.0;358.0;6797.0;
C0021051;3;338.0;320.0;458.0;358.0;6797.0;
C0021057;1;312.0;322.0;0.0;358.0;6476.0;
C0021057;2;311.0;332.0;229.0;358.0;6476.0;
C0021057;3;315.0;332.0;458.0;358.0;6476.0;
C0023223;1;353.0;343.0;0.0;358.0;6318.0;
C0023223;2;352.0;346.0;229.0;358.0;6318.0;
C0023223;3;353.0;346.0;458.0;358.0;6318.0;
C0023247;1;317.0;351.0;0.0;358.0;6633.0;
C0023247;2;320.0;357.0;229.0;358.0;6633.0;
C0023247;3;325.0;360.0;458.0;358.0;6633.0;
C0023340;1;308.0;341.0;0.0;358.0;6773.0;
C0023340;2;308.0;342.0;229.0;358.0;6773.0;
C0023340;3;310.0;344.0;458.0;358.0;6773.0;
C0023343;1;342.0;325.0;0.0;358.0;6653.0;
C0023343;2;339.0;330.0;229.0;358.0;6653.0;
C0023343;3;339.0;340.0;458.0;358.0;6653.0;
C0023364;1;329.0;369.0;0.0;358.0;6550.0;
C0023364;2;333.0;356.0;229.0;358.0;6550.0;
C0023364;3;332.0;356.0;458.0;358.0;6550.0;
C0023381;1;317.0;340.0;0.0;358.0;6579.0;
C0023381;2;313.0;339.0;229.0;358.0;6579.0;
C0023381;3;314.0;339.0;458.0;358.0;6579.0;
C0023451;1;362.0;356.0;0.0;358.0;6557.0;
C0023451;2;355.0;363.0;229.0;358.0;6557.0;
C0023451;3;368.0;358.0;458.0;358.0;6557.0;
C0023452;1;335.0;338.0;0.0;358.0;6734.0;
C0023452;2;338.0;344.0;229.0;358.0;6734.0;
C0023452;3;336.0;356.0;458.0;358.0;6734.0;
C0023511;1;320.0;332.0;0.0;358.0;6885.0;
C0023511;2;325.0;326.0;229.0;358.0;6885.0;
C0023511;3;326.0;322.0;458.0;358.0;6885.0;
C0023688;1;322.0;342.0;0.0;358.0;6395.0;
C0023688;2;311.0;346.0;229.0;358.0;6395.0;
C0023688;3;307.0;347.0;458.0;358.0;6395.0;
C0024065;1;326.0;341.0;0.0;358.0;6540.0;
C0024065;2;319.0;343.0;229.0;358.0;6540.0;
C0024065;3;318.0;342.0;458.0;358.0;6540.0;
C0024066;1;357.0;337.0;0.0;358.0;6141.0;
C0024066;2;358.0;337.0;229.0;358.0;6141.0;
C0024066;3;366.0;336.0;458.0;358.0;6141.0;
C0024090;1;352.0;359.0;0.0;358.0;6467.0;
C0024090;2;347.0;354.0;229.0;358.0;6467.0;
C0024090;3;338.0;362.0;458.0;358.0;6467.0;
C0024091;1;323.0;325.0;0.0;358.0;6012.0;
C0024091;2;319.0;328.0;229.0;358.0;6012.0;
C0024091;3;321.0;337.0;458.0;358.0;6012.0;
C0024093;1;309.0;335.0;0.0;358.0;6416.0;
C0024093;2;306.0;339.0;229.0;358.0;6416.0;
C0024093;3;307.0;337.0;458.0;358.0;6416.0;
C0024264;1;328.0;368.0;0.0;358.0;6626.0;
C0024264;2;330.0;372.0;229.0;358.0;6626.0;
C0024264;3;332.0;367.0;458.0;358.0;6626.0;
C0024273;1;356.0;365.0;0.0;358.0;6540.0;
C0024273;2;351.0;357.0;229.0;358.0;6540.0;
C0024273;3;357.0;360.0;458.0;358.0;6540.0;
C0024275;1;351.0;357.0;0.0;358.0;6715.0;
C0024275;2;342.0;347.0;229.0;358.0;6715.0;
C0024275;3;339.0;345.0;458.0;358.0;6715.0;
C0024278;1;353.0;368.0;0.0;358.0;6211.0;
C0024278;2;351.0;367.0;229.0;358.0;6211.0;
C0024278;3;351.0;364.0;458.0;358.0;6211.0;
C0024282;1;332.0;344.0;0.0;358.0;6198.0;
C0024282;2;328.0;334.0;229.0;358.0;6198.0;
C0024282;3;331.0;316.0;458.0;358.0;6198.0;
C0024330;1;312.0;375.0;0.0;358.0;7039.0;
C0024330;2;333.0;368.0;229.0;358.0;7039.0;
C0024330;3;344.0;368.0;458.0;358.0;7039.0;
R0017432;1;;;;;;
R0017432;2;320.0;405.0;337.0;358.0;6163.0;
R0017432;3;322.0;384.0;492.0;358.0;6163.0;
R0017569;1;322.0;377.0;75.0;358.0;6807.0;
R0017569;2;326.0;421.0;369.0;358.0;6807.0;
R0017569;3;309.0;420.0;492.0;358.0;6807.0;
R0017570;1;306.0;396.0;50.0;358.0;7133.0;
R0017570;2;302.0;372.0;324.0;358.0;7133.0;
R0017570;3;328.0;366.0;492.0;358.0;7133.0;
